#: ,30-50,50-70,70-90,90-110,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400,400-500
JES_EtaIntercalibration_Modelling,-8.7162,-4.59636,-3.72875,-3.00023,-2.89574,-2.27272,-2.26093,-2.57995,-1.8104,-1.7267,-1.9225,-2.24749,-2.11119
JES_EtaIntercalibration_NonClosure,-0.88734,0.55114,0.10272,-0.00512,0.03986,0.80228,0.5349,-0.05948,0.09129,-0.20966,0.55155,0.17356,0.08784
JES_EtaIntercalibration_TotalStat,-3.68249,-2.91185,-1.93223,-1.14359,-0.91104,-0.98799,-1.40915,-1.77288,-1.21271,-0.8339,-1.30145,-1.19916,-1.0393
JES_Flavor_Composition,-0.37252,-0.34149,-0.3272,-0.42278,-0.52803,-0.64337,-0.51814,-0.34348,-0.10681,-0.23638,-0.71383,-0.77451,-0.57904
JES_Flavor_Response,5.48299,3.2408,2.89905,2.66452,2.42758,1.65479,1.60309,1.70272,1.63264,0.99358,1.77801,1.15084,0.59956
JES_Pileup_OffsetMu,1.16048,0.97062,0.33805,0.44766,0.51412,0.09425,0.10791,0.16823,0.28282,0.17892,0.02632,-0.07057,-0.18236
JES_Pileup_OffsetNPV,-0.39215,-0.65871,-0.02747,0.08453,0.09387,-0.25687,-0.32192,-0.04319,0.10821,0.02824,-0.02583,-0.34638,-0.18112
JES_Pileup_PtTerm,0.35307,-0.39076,-0.2088,0.05636,-0.18266,-0.34895,-0.33622,-0.5049,-0.2136,-0.30334,-0.45171,-0.47847,-0.21144
JES_Pileup_RhoTopology,-4.88824,-4.72665,-3.38313,-2.6075,-2.38416,-2.21682,-1.91287,-1.80036,-1.57472,-1.39905,-1.44884,-1.22975,-1.22378
Jet_energy_resolution,-10.8957,-6.59888,-3.90566,-3.54905,-2.48732,-2.21257,-2.7064,-2.08976,-1.39671,-1.87993,-0.90873,-1.52575,-0.92852
Jet_vertex_tagger,-5.67902,-3.51193,-2.12645,-1.60543,-1.45588,-1.50242,-1.33837,-1.1026,-0.9504,-0.8277,-0.81502,-0.73809,-0.52252
Pileup,-2.04271,-0.27684,-0.69803,-0.10828,0.10177,0.15986,0.47286,0.37793,0.02504,0.22029,-0.14668,0.14184,-0.05683
Unfolding,3.27622,3.01882,3.02886,3.00998,3.01547,3.0117,3.0279,3.00427,3.00387,3.00401,3.00044,3.00728,3.00046
Monte_Carlo_statistics,4.19404,2.45442,2.44746,2.62014,2.82904,3.15815,3.55432,3.77162,3.92435,5.2083,6.97533,8.69597,9.30052
Top_cross_section,-0.13583,-0.31193,-0.45754,-0.51497,-0.52958,-0.54528,-0.49715,-0.4554,-0.42886,-0.39111,-0.43381,-0.37593,-0.44231
Diboson_cross_section,-0.09699,-0.13194,-0.13291,-0.13176,-0.14977,-0.17256,-0.17708,-0.19556,-0.2077,-0.21985,-0.23181,-0.28418,-0.45093
$W\to\ell\nu$_cross_section,-0.00229,-0.00094,-0.00034,-9.00E-05,-0.00022,-0.00026,-0.00018,-8.00E-05,-0.00186,-0.00307,-0.00241,3.00E-05,0.00013
$Z\to\tau\tau$_cross_section,-0.00173,-0.00052,-0.00215,-0.00071,-0.00155,-0.00283,-0.00159,8.00E-05,0.00013,-0.00266,-0.00487,-0.00026,-0.00317
Multijet,-1.4875,-0.78091,-0.38194,-0.24571,-0.45344,-0.80373,-0.36882,-0.72884,-0.4652,-0.12491,-0.29451,-0.25663,-0.8153
Top_parton_shower,0.04701,-0.37689,-0.08555,0.22604,-0.41085,0.08129,-0.37614,-0.92662,-0.8051,-0.02134,-1.93786,-1.98814,-2.70906
Top_generator,-0.54473,-0.89708,-0.47606,-1.31587,-0.24673,-1.05666,-0.26971,-0.37166,-0.00687,-1.07203,0.34003,2.33894,0.28937
Luminosity,-2.13828,-2.20955,-2.26026,-2.27885,-2.29041,-2.30416,-2.28866,-2.27993,-2.27573,-2.26861,-2.28798,-2.28319,-2.36425
