Syst.,30-50,50-70,70-90,90-110,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400,400-500
Jet_energy_resolution,-6.65976,-3.19429,-1.35927,-1.56324,-1.82345,-1.40722,-1.30069,-1.41456,-0.97226,-0.91171,-0.50952,-1.01345,-0.41421
Jet_vertex_tagger,-3.00997,-2.04976,-0.92301,-0.59932,-0.55887,-0.55745,-0.46206,-0.41075,-0.26116,-0.25255,-0.20978,-0.12648,-0.16749
Pileup,0.15341,-0.15049,-0.11601,-0.16235,0.10449,-0.02751,0.37293,0.56078,0.01409,0.03758,-0.17361,0.25478,0.12512
Unfolding,3.03408,3.04259,3.01147,3.00976,3.00143,3.00013,3.00374,3,3.00001,3.00032,3.00029,3.00953,3.00078
Monte_Carlo_statistics,1.05235,0.85242,1.00558,1.19875,1.40294,1.70121,1.99653,2.21849,2.49376,3.49129,4.725,6.02771,6.61491
Top_cross_section,-0.06247,-0.17247,-0.28602,-0.34906,-0.3546,-0.34475,-0.33167,-0.27555,-0.23518,-0.25269,-0.25894,-0.24312,-0.28286
Diboson_cross_section,-0.06901,-0.09127,-0.09244,-0.09406,-0.10551,-0.11498,-0.1212,-0.12644,-0.14535,-0.17728,-0.23102,-0.2458,-0.2693
$W\to\ell\nu$_cross_section,-0.00034,-7.00E-05,-3.00E-05,-0.00019,-0.00045,-8.00E-05,-0.00014,-0.00041,-0.0018,-0.0009,0.00016,-0.00025,-0.00386
$Z\to\tau\tau$_cross_section,-0.00085,-0.00171,-0.00152,-0.00102,-0.00153,-0.00322,-0.00295,-0.00165,-0.00158,-0.00109,-0.00037,4.00E-05,-0.00034
Multijet,-0.36476,-0.38641,-0.49772,-0.52401,-0.50229,-0.56355,-0.6004,-0.51549,-0.59073,-1.31487,-1.28443,-1.3255,-1.53833
Top_parton_shower,0.10712,0.0428,0.26527,0.3818,0.00993,-0.32746,-0.29033,0.11558,-0.3523,-0.29935,-0.99877,-1.95861,-0.85509
Top_generator,-0.20987,-0.00758,0.33542,0.79206,0.34536,-0.2292,0.14464,0.35557,-1.04216,-0.95228,-0.0801,-0.83599,-1.03124
Luminosity,-2.10239,-2.14792,-2.18719,-2.20922,-2.21533,-2.21574,-2.21334,-2.19546,-2.18865,-2.20503,-2.22486,-2.22451,-2.24781
